study_id,effect_id,f_profile_id,profile_signature_id,signature_source_n,signature_allocated_n,signature_empirical_share,signature_panel_share,missing_demographic_fields,GENDER,pid_3,age_5,EDUC4,ideo_3,race_4
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F012,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F013,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F014,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F015,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F016,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F017,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F018,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F019,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F020,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F021,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F022,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F023,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F024,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F025,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F026,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F027,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F028,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F029,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F030,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F031,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F032,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F033,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F034,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F035,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F036,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F037,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F038,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F039,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F040,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F041,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F042,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F043,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F044,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F045,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F046,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F047,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F048,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F049,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F050,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F051,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F052,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F053,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F054,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F055,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F056,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F057,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F058,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F059,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F060,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F061,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F062,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F063,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F064,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F065,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F066,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F067,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F068,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F069,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F070,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F071,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F072,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F073,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F074,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F075,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F076,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F077,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F078,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F079,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F080,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F081,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F082,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F083,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F084,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F085,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F086,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F087,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F088,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F089,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F090,b80ac4361b0f3e03,32,41,0.08226221079691516,0.082,,Male,Democrat,Older than 50,Non-College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F091,e4c76fbe4f1f0012,13,17,0.033419023136246784,0.034,,Male,Republican,Older than 50,College,Liberal,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F092,e4c76fbe4f1f0012,13,17,0.033419023136246784,0.034,,Male,Republican,Older than 50,College,Liberal,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F093,e4c76fbe4f1f0012,13,17,0.033419023136246784,0.034,,Male,Republican,Older than 50,College,Liberal,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F094,e4c76fbe4f1f0012,13,17,0.033419023136246784,0.034,,Male,Republican,Older than 50,College,Liberal,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F095,e4c76fbe4f1f0012,13,17,0.033419023136246784,0.034,,Male,Republican,Older than 50,College,Liberal,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F096,e4c76fbe4f1f0012,13,17,0.033419023136246784,0.034,,Male,Republican,Older than 50,College,Liberal,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F097,e4c76fbe4f1f0012,13,17,0.033419023136246784,0.034,,Male,Republican,Older than 50,College,Liberal,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F098,e4c76fbe4f1f0012,13,17,0.033419023136246784,0.034,,Male,Republican,Older than 50,College,Liberal,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F099,e4c76fbe4f1f0012,13,17,0.033419023136246784,0.034,,Male,Republican,Older than 50,College,Liberal,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F100,e4c76fbe4f1f0012,13,17,0.033419023136246784,0.034,,Male,Republican,Older than 50,College,Liberal,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F101,e4c76fbe4f1f0012,13,17,0.033419023136246784,0.034,,Male,Republican,Older than 50,College,Liberal,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F102,e4c76fbe4f1f0012,13,17,0.033419023136246784,0.034,,Male,Republican,Older than 50,College,Liberal,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F103,e4c76fbe4f1f0012,13,17,0.033419023136246784,0.034,,Male,Republican,Older than 50,College,Liberal,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F104,e4c76fbe4f1f0012,13,17,0.033419023136246784,0.034,,Male,Republican,Older than 50,College,Liberal,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F105,e4c76fbe4f1f0012,13,17,0.033419023136246784,0.034,,Male,Republican,Older than 50,College,Liberal,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F106,e4c76fbe4f1f0012,13,17,0.033419023136246784,0.034,,Male,Republican,Older than 50,College,Liberal,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F107,e4c76fbe4f1f0012,13,17,0.033419023136246784,0.034,,Male,Republican,Older than 50,College,Liberal,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F108,b20012de40075019,6,8,0.015424164524421594,0.016,,Male,Republican,Younger than 50,College,Liberal,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F109,b20012de40075019,6,8,0.015424164524421594,0.016,,Male,Republican,Younger than 50,College,Liberal,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F110,b20012de40075019,6,8,0.015424164524421594,0.016,,Male,Republican,Younger than 50,College,Liberal,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F111,b20012de40075019,6,8,0.015424164524421594,0.016,,Male,Republican,Younger than 50,College,Liberal,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F112,b20012de40075019,6,8,0.015424164524421594,0.016,,Male,Republican,Younger than 50,College,Liberal,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F113,b20012de40075019,6,8,0.015424164524421594,0.016,,Male,Republican,Younger than 50,College,Liberal,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F114,b20012de40075019,6,8,0.015424164524421594,0.016,,Male,Republican,Younger than 50,College,Liberal,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F115,b20012de40075019,6,8,0.015424164524421594,0.016,,Male,Republican,Younger than 50,College,Liberal,White
