study_id,respondent_demographics_available,survey_weights_available,published_population_margins_available,currently_used_method,preferred_method_under_protocol,action_needed,notes
SchaadS62,True,False,False,study_effect_analytic_profile_distribution_unweighted_largest_remainder,study_effect_analytic_profile_distribution_unweighted_largest_remainder,none,rct_responses.RDS columns: y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3
Schnabel903,True,False,False,study_effect_analytic_profile_distribution_unweighted_largest_remainder,study_effect_analytic_profile_distribution_unweighted_largest_remainder,none,rct_responses.RDS columns: y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3
ShannonS2,True,False,False,study_effect_analytic_profile_distribution_unweighted_largest_remainder,study_effect_analytic_profile_distribution_unweighted_largest_remainder,none,rct_responses.RDS columns: y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3
Silverman1035,True,False,False,study_effect_analytic_profile_distribution_unweighted_largest_remainder,study_effect_analytic_profile_distribution_unweighted_largest_remainder,none,rct_responses.RDS columns: y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3
Stoker1063,True,False,False,study_effect_analytic_profile_distribution_unweighted_largest_remainder,study_effect_analytic_profile_distribution_unweighted_largest_remainder,none,rct_responses.RDS columns: y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3
Terman1029,True,False,False,study_effect_analytic_profile_distribution_unweighted_largest_remainder,study_effect_analytic_profile_distribution_unweighted_largest_remainder,none,rct_responses.RDS columns: y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3
WallaceS9,True,False,False,study_effect_analytic_profile_distribution_unweighted_largest_remainder,study_effect_analytic_profile_distribution_unweighted_largest_remainder,none,rct_responses.RDS columns: y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3
Williamson859,True,False,False,study_effect_analytic_profile_distribution_unweighted_largest_remainder,study_effect_analytic_profile_distribution_unweighted_largest_remainder,none,rct_responses.RDS columns: y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3
bolsenM6,True,False,False,study_effect_analytic_profile_distribution_unweighted_largest_remainder,study_effect_analytic_profile_distribution_unweighted_largest_remainder,none,rct_responses.RDS columns: y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3
bucci1408,True,False,False,study_effect_analytic_profile_distribution_unweighted_largest_remainder,study_effect_analytic_profile_distribution_unweighted_largest_remainder,none,rct_responses.RDS columns: y|condition.name|GENDER|race_4|age_5|EDUC4|y|condition.name|GENDER|race_4|age_5|EDUC4|y|condition.name|GENDER|race_4|age_5|EDUC4
