profile_id,latent_profile_id,condition,condition_replicate,gender,age,year_birth,age_band,race,education,income,party,state_fips,state_abbr
LP0035__control__R1,LP0035,control,1,Male,19,2007,18-29,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Independent,31,NE
LP0036__control__R1,LP0036,control,1,Male,23,2003,18-29,White / Caucasian,Less than high school,"$30,000 to $55,999",Independent,26,MI
LP0037__control__R1,LP0037,control,1,Male,26,2000,18-29,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Democrat,42,PA
LP0038__control__R1,LP0038,control,1,Male,21,2005,18-29,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Democrat,29,MO
LP0039__control__R1,LP0039,control,1,Male,22,2004,18-29,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Independent,51,VA
LP0040__control__R1,LP0040,control,1,Male,26,2000,18-29,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Independent,16,ID
LP0041__control__R1,LP0041,control,1,Male,18,2008,18-29,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Independent,51,VA
LP0042__control__R1,LP0042,control,1,Male,18,2008,18-29,White / Caucasian,Less than high school,"$168,000 or more",Independent,13,GA
LP0043__control__R1,LP0043,control,1,Male,29,1997,18-29,White / Caucasian,Less than high school,"$30,000 to $55,999",Independent,56,WY
LP0044__control__R1,LP0044,control,1,Male,25,2001,18-29,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Republican,42,PA
LP0045__control__R1,LP0045,control,1,Male,28,1998,18-29,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Democrat,42,PA
LP0046__control__R1,LP0046,control,1,Male,26,2000,18-29,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Republican,19,IA
LP0047__control__R1,LP0047,control,1,Male,27,1999,18-29,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Democrat,20,KS
LP0048__control__R1,LP0048,control,1,Male,20,2006,18-29,White / Caucasian,Less than high school,"$56,000 to $99,999",Independent,48,TX
LP0049__control__R1,LP0049,control,1,Male,23,2003,18-29,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Democrat,04,AZ
LP0050__control__R1,LP0050,control,1,Male,18,2008,18-29,White / Caucasian,Less than high school,"Less than $30,000",Democrat,21,KY
LP0051__control__R1,LP0051,control,1,Male,24,2002,18-29,White / Caucasian,Bachelor's degree,"$168,000 or more",Other,42,PA
LP0052__control__R1,LP0052,control,1,Male,22,2004,18-29,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Republican,41,OR
LP0053__control__R1,LP0053,control,1,Male,20,2006,18-29,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Other,48,TX
LP0054__control__R1,LP0054,control,1,Male,21,2005,18-29,Black / African American,Some college or Associate's degree,"$56,000 to $99,999",Democrat,51,VA
LP0055__control__R1,LP0055,control,1,Male,27,1999,18-29,Black / African American,High school diploma / GED,"$56,000 to $99,999",Independent,37,NC
LP0056__control__R1,LP0056,control,1,Male,18,2008,18-29,Black / African American,Some college or Associate's degree,"$168,000 or more",Other,17,IL
LP0057__control__R1,LP0057,control,1,Male,18,2008,18-29,Black / African American,Less than high school,"$30,000 to $55,999",Democrat,12,FL
LP0058__control__R1,LP0058,control,1,Male,27,1999,18-29,Black / African American,High school diploma / GED,"$100,000 to $167,999",Other,53,WA
LP0059__control__R1,LP0059,control,1,Male,25,2001,18-29,Black / African American,High school diploma / GED,"$100,000 to $167,999",Independent,17,IL
LP0060__control__R1,LP0060,control,1,Male,27,1999,18-29,Black / African American,Some college or Associate's degree,"$56,000 to $99,999",Independent,24,MD
LP0061__control__R1,LP0061,control,1,Male,27,1999,18-29,Black / African American,Master's degree / Professional degree,"$30,000 to $55,999",Democrat,47,TN
LP0062__control__R1,LP0062,control,1,Male,21,2005,18-29,Black / African American,High school diploma / GED,"Less than $30,000",Independent,49,UT
LP0063__control__R1,LP0063,control,1,Male,22,2004,18-29,Black / African American,Some college or Associate's degree,"$56,000 to $99,999",Other,34,NJ
LP0064__control__R1,LP0064,control,1,Male,25,2001,18-29,Black / African American,High school diploma / GED,"$30,000 to $55,999",Other,42,PA
LP0065__control__R1,LP0065,control,1,Male,27,1999,18-29,Black / African American,High school diploma / GED,"$30,000 to $55,999",Independent,48,TX
LP0066__control__R1,LP0066,control,1,Male,21,2005,18-29,Black / African American,Some college or Associate's degree,"$168,000 or more",Democrat,13,GA
LP0067__control__R1,LP0067,control,1,Male,25,2001,18-29,Black / African American,Bachelor's degree,"$168,000 or more",Democrat,12,FL
LP0068__control__R1,LP0068,control,1,Male,25,2001,18-29,Hispanic / Latino,High school diploma / GED,"$100,000 to $167,999",Other,17,IL
LP0069__control__R1,LP0069,control,1,Male,25,2001,18-29,Hispanic / Latino,High school diploma / GED,"$168,000 or more",Democrat,42,PA
LP0070__control__R1,LP0070,control,1,Male,22,2004,18-29,Hispanic / Latino,Some college or Associate's degree,"$56,000 to $99,999",Independent,06,CA
LP0071__control__R1,LP0071,control,1,Male,26,2000,18-29,Hispanic / Latino,Some college or Associate's degree,"$56,000 to $99,999",Independent,12,FL
LP0072__control__R1,LP0072,control,1,Male,24,2002,18-29,Hispanic / Latino,High school diploma / GED,"$168,000 or more",Democrat,25,MA
LP0073__control__R1,LP0073,control,1,Male,25,2001,18-29,Hispanic / Latino,Some college or Associate's degree,"$30,000 to $55,999",Other,31,NE
LP0074__control__R1,LP0074,control,1,Male,23,2003,18-29,Hispanic / Latino,Less than high school,"Less than $30,000",Independent,06,CA
LP0075__control__R1,LP0075,control,1,Male,20,2006,18-29,Hispanic / Latino,High school diploma / GED,"$168,000 or more",Independent,47,TN
LP0076__control__R1,LP0076,control,1,Male,19,2007,18-29,Hispanic / Latino,Some college or Associate's degree,"$100,000 to $167,999",Independent,24,MD
LP0077__control__R1,LP0077,control,1,Male,27,1999,18-29,Hispanic / Latino,Some college or Associate's degree,"$168,000 or more",Democrat,06,CA
LP0078__control__R1,LP0078,control,1,Male,21,2005,18-29,Hispanic / Latino,Less than high school,"Less than $30,000",Other,19,IA
LP0079__control__R1,LP0079,control,1,Male,29,1997,18-29,Hispanic / Latino,High school diploma / GED,"$100,000 to $167,999",Independent,13,GA
LP0080__control__R1,LP0080,control,1,Male,27,1999,18-29,Hispanic / Latino,Less than high school,"$56,000 to $99,999",Republican,17,IL
LP0081__control__R1,LP0081,control,1,Male,19,2007,18-29,Hispanic / Latino,High school diploma / GED,"$56,000 to $99,999",Democrat,41,OR
LP0082__control__R1,LP0082,control,1,Male,25,2001,18-29,Hispanic / Latino,High school diploma / GED,"$100,000 to $167,999",Independent,41,OR
LP0083__control__R1,LP0083,control,1,Male,24,2002,18-29,Hispanic / Latino,High school diploma / GED,"$100,000 to $167,999",Independent,12,FL
LP0084__control__R1,LP0084,control,1,Male,21,2005,18-29,Hispanic / Latino,Some college or Associate's degree,"$56,000 to $99,999",Independent,06,CA
LP0085__control__R1,LP0085,control,1,Male,29,1997,18-29,Hispanic / Latino,High school diploma / GED,"$56,000 to $99,999",Republican,26,MI
LP0086__control__R1,LP0086,control,1,Male,18,2008,18-29,Hispanic / Latino,High school diploma / GED,"$100,000 to $167,999",Republican,06,CA
LP0087__control__R1,LP0087,control,1,Male,23,2003,18-29,Hispanic / Latino,Some college or Associate's degree,"Less than $30,000",Independent,17,IL
LP0088__control__R1,LP0088,control,1,Male,26,2000,18-29,Hispanic / Latino,High school diploma / GED,"$168,000 or more",Independent,06,CA
LP0089__control__R1,LP0089,control,1,Male,29,1997,18-29,Hispanic / Latino,Less than high school,"$56,000 to $99,999",Other,17,IL
LP0090__control__R1,LP0090,control,1,Male,25,2001,18-29,Hispanic / Latino,High school diploma / GED,"$100,000 to $167,999",Republican,06,CA
LP0091__control__R1,LP0091,control,1,Male,26,2000,18-29,Hispanic / Latino,Some college or Associate's degree,"$56,000 to $99,999",Democrat,06,CA
LP0092__control__R1,LP0092,control,1,Male,19,2007,18-29,Hispanic / Latino,Some college or Associate's degree,"$168,000 or more",Democrat,06,CA
LP0093__control__R1,LP0093,control,1,Male,20,2006,18-29,Asian / Asian American,Some college or Associate's degree,"$56,000 to $99,999",Independent,20,KS
LP0094__control__R1,LP0094,control,1,Male,26,2000,18-29,Asian / Asian American,Master's degree / Professional degree,"$100,000 to $167,999",Democrat,06,CA
LP0095__control__R1,LP0095,control,1,Male,29,1997,18-29,Asian / Asian American,Master's degree / Professional degree,"$168,000 or more",Other,06,CA
LP0096__control__R1,LP0096,control,1,Male,29,1997,18-29,Asian / Asian American,High school diploma / GED,"$56,000 to $99,999",Democrat,06,CA
LP0097__control__R1,LP0097,control,1,Male,19,2007,18-29,Asian / Asian American,High school diploma / GED,"$168,000 or more",Independent,36,NY
LP0098__control__R1,LP0098,control,1,Male,27,1999,18-29,Asian / Asian American,Bachelor's degree,"$168,000 or more",Republican,17,IL
LP0099__control__R1,LP0099,control,1,Male,25,2001,18-29,Asian / Asian American,Less than high school,"$30,000 to $55,999",Independent,39,OH
LP0100__control__R1,LP0100,control,1,Male,22,2004,18-29,Other,Some college or Associate's degree,"Less than $30,000",Other,26,MI
LP0101__control__R1,LP0101,control,1,Male,18,2008,18-29,Other,Less than high school,"$56,000 to $99,999",Independent,06,CA
LP0102__control__R1,LP0102,control,1,Male,21,2005,18-29,Other,Less than high school,"$56,000 to $99,999",Independent,13,GA
LP0103__control__R1,LP0103,control,1,Male,22,2004,18-29,Other,High school diploma / GED,"$30,000 to $55,999",Republican,39,OH
LP0104__control__R1,LP0104,control,1,Male,35,1991,30-44,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Democrat,42,PA
LP0105__control__R1,LP0105,control,1,Male,34,1992,30-44,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Independent,46,SD
LP0106__control__R1,LP0106,control,1,Male,37,1989,30-44,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Independent,06,CA
LP0107__control__R1,LP0107,control,1,Male,40,1986,30-44,White / Caucasian,Doctorate degree / Ph.D.,"$100,000 to $167,999",Republican,36,NY
LP0108__control__R1,LP0108,control,1,Male,38,1988,30-44,White / Caucasian,High school diploma / GED,"Less than $30,000",Republican,01,AL
LP0109__control__R1,LP0109,control,1,Male,37,1989,30-44,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Democrat,29,MO
LP0110__control__R1,LP0110,control,1,Male,39,1987,30-44,White / Caucasian,Less than high school,"$30,000 to $55,999",Republican,26,MI
LP0111__control__R1,LP0111,control,1,Male,36,1990,30-44,White / Caucasian,Master's degree / Professional degree,"$30,000 to $55,999",Independent,49,UT
LP0112__control__R1,LP0112,control,1,Male,31,1995,30-44,White / Caucasian,Less than high school,"$100,000 to $167,999",Other,53,WA
LP0113__control__R1,LP0113,control,1,Male,36,1990,30-44,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Other,06,CA
LP0114__control__R1,LP0114,control,1,Male,35,1991,30-44,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican,13,GA
LP0115__control__R1,LP0115,control,1,Male,44,1982,30-44,White / Caucasian,Master's degree / Professional degree,"$168,000 or more",Democrat,17,IL
LP0116__control__R1,LP0116,control,1,Male,36,1990,30-44,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican,47,TN
LP0117__control__R1,LP0117,control,1,Male,33,1993,30-44,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Democrat,06,CA
LP0118__control__R1,LP0118,control,1,Male,31,1995,30-44,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Independent,26,MI
LP0119__control__R1,LP0119,control,1,Male,37,1989,30-44,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Republican,09,CT
LP0120__control__R1,LP0120,control,1,Male,39,1987,30-44,White / Caucasian,Bachelor's degree,"$168,000 or more",Republican,17,IL
LP0121__control__R1,LP0121,control,1,Male,39,1987,30-44,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican,48,TX
LP0122__control__R1,LP0122,control,1,Male,38,1988,30-44,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Republican,18,IN
LP0123__control__R1,LP0123,control,1,Male,40,1986,30-44,White / Caucasian,Master's degree / Professional degree,"$168,000 or more",Republican,13,GA
LP0124__control__R1,LP0124,control,1,Male,39,1987,30-44,White / Caucasian,Bachelor's degree,"$168,000 or more",Republican,12,FL
LP0125__control__R1,LP0125,control,1,Male,31,1995,30-44,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Democrat,41,OR
LP0126__control__R1,LP0126,control,1,Male,41,1985,30-44,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,17,IL
LP0127__control__R1,LP0127,control,1,Male,35,1991,30-44,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Republican,50,VT
LP0128__control__R1,LP0128,control,1,Male,39,1987,30-44,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Independent,18,IN
LP0129__control__R1,LP0129,control,1,Male,39,1987,30-44,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Independent,48,TX
LP0130__control__R1,LP0130,control,1,Male,38,1988,30-44,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Republican,12,FL
LP0131__control__R1,LP0131,control,1,Male,32,1994,30-44,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Democrat,12,FL
LP0132__control__R1,LP0132,control,1,Male,44,1982,30-44,White / Caucasian,Master's degree / Professional degree,"$168,000 or more",Democrat,08,CO
LP0133__control__R1,LP0133,control,1,Male,42,1984,30-44,White / Caucasian,Bachelor's degree,"$168,000 or more",Independent,06,CA
LP0134__control__R1,LP0134,control,1,Male,32,1994,30-44,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Democrat,41,OR
LP0135__control__R1,LP0135,control,1,Male,40,1986,30-44,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Democrat,42,PA
LP0136__control__R1,LP0136,control,1,Male,36,1990,30-44,White / Caucasian,Bachelor's degree,"$168,000 or more",Independent,12,FL
LP0137__control__R1,LP0137,control,1,Male,38,1988,30-44,White / Caucasian,Less than high school,"$30,000 to $55,999",Republican,01,AL
LP0138__control__R1,LP0138,control,1,Male,44,1982,30-44,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Democrat,36,NY
LP0139__control__R1,LP0139,control,1,Male,43,1983,30-44,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Democrat,04,AZ
LP0140__control__R1,LP0140,control,1,Male,32,1994,30-44,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Republican,48,TX
LP0141__control__R1,LP0141,control,1,Male,39,1987,30-44,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Republican,29,MO
LP0142__control__R1,LP0142,control,1,Male,36,1990,30-44,White / Caucasian,Master's degree / Professional degree,"$168,000 or more",Democrat,41,OR
LP0143__control__R1,LP0143,control,1,Male,42,1984,30-44,White / Caucasian,Bachelor's degree,"$168,000 or more",Republican,51,VA
LP0144__control__R1,LP0144,control,1,Male,41,1985,30-44,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Other,48,TX
LP0145__control__R1,LP0145,control,1,Male,40,1986,30-44,White / Caucasian,Bachelor's degree,"Less than $30,000",Democrat,06,CA
LP0146__control__R1,LP0146,control,1,Male,31,1995,30-44,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Independent,49,UT
LP0147__control__R1,LP0147,control,1,Male,40,1986,30-44,White / Caucasian,Bachelor's degree,"$168,000 or more",Republican,29,MO
LP0148__control__R1,LP0148,control,1,Male,34,1992,30-44,White / Caucasian,Less than high school,"$30,000 to $55,999",Republican,22,LA
LP0149__control__R1,LP0149,control,1,Male,35,1991,30-44,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Independent,53,WA
LP0150__control__R1,LP0150,control,1,Male,32,1994,30-44,White / Caucasian,Master's degree / Professional degree,"$168,000 or more",Democrat,17,IL
LP0151__control__R1,LP0151,control,1,Male,31,1995,30-44,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,29,MO
LP0152__control__R1,LP0152,control,1,Male,36,1990,30-44,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican,36,NY
LP0153__control__R1,LP0153,control,1,Male,38,1988,30-44,White / Caucasian,High school diploma / GED,"$168,000 or more",Democrat,27,MN
LP0154__control__R1,LP0154,control,1,Male,42,1984,30-44,White / Caucasian,Master's degree / Professional degree,"$168,000 or more",Independent,53,WA
LP0155__control__R1,LP0155,control,1,Male,43,1983,30-44,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Democrat,42,PA
LP0156__control__R1,LP0156,control,1,Male,38,1988,30-44,White / Caucasian,Master's degree / Professional degree,"$168,000 or more",Democrat,21,KY
LP0157__control__R1,LP0157,control,1,Male,36,1990,30-44,White / Caucasian,High school diploma / GED,"Less than $30,000",Republican,19,IA
LP0158__control__R1,LP0158,control,1,Male,37,1989,30-44,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Independent,22,LA
LP0159__control__R1,LP0159,control,1,Male,37,1989,30-44,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Independent,31,NE
LP0160__control__R1,LP0160,control,1,Male,35,1991,30-44,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Republican,39,OH
LP0161__control__R1,LP0161,control,1,Male,30,1996,30-44,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Independent,39,OH
LP0162__control__R1,LP0162,control,1,Male,38,1988,30-44,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Independent,25,MA
LP0163__control__R1,LP0163,control,1,Male,42,1984,30-44,White / Caucasian,Master's degree / Professional degree,"$168,000 or more",Independent,50,VT
LP0164__control__R1,LP0164,control,1,Male,32,1994,30-44,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Republican,04,AZ
LP0165__control__R1,LP0165,control,1,Male,38,1988,30-44,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,25,MA
LP0166__control__R1,LP0166,control,1,Male,36,1990,30-44,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Independent,41,OR
LP0167__control__R1,LP0167,control,1,Male,41,1985,30-44,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Democrat,27,MN
LP0168__control__R1,LP0168,control,1,Male,30,1996,30-44,White / Caucasian,Master's degree / Professional degree,"$168,000 or more",Independent,36,NY
LP0169__control__R1,LP0169,control,1,Male,37,1989,30-44,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Democrat,24,MD
LP0170__control__R1,LP0170,control,1,Male,43,1983,30-44,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Democrat,12,FL
LP0171__control__R1,LP0171,control,1,Male,30,1996,30-44,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Independent,12,FL
LP0172__control__R1,LP0172,control,1,Male,38,1988,30-44,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Democrat,39,OH
LP0173__control__R1,LP0173,control,1,Male,32,1994,30-44,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Independent,12,FL
LP0174__control__R1,LP0174,control,1,Male,34,1992,30-44,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,47,TN
LP0175__control__R1,LP0175,control,1,Male,39,1987,30-44,Black / African American,High school diploma / GED,"$30,000 to $55,999",Republican,13,GA
LP0176__control__R1,LP0176,control,1,Male,30,1996,30-44,Black / African American,High school diploma / GED,"$56,000 to $99,999",Democrat,24,MD
LP0177__control__R1,LP0177,control,1,Male,41,1985,30-44,Black / African American,Bachelor's degree,"$56,000 to $99,999",Democrat,24,MD
LP0178__control__R1,LP0178,control,1,Male,42,1984,30-44,Black / African American,Master's degree / Professional degree,"$168,000 or more",Democrat,51,VA
LP0179__control__R1,LP0179,control,1,Male,41,1985,30-44,Black / African American,Master's degree / Professional degree,"$56,000 to $99,999",Democrat,42,PA
LP0180__control__R1,LP0180,control,1,Male,41,1985,30-44,Black / African American,Less than high school,"$56,000 to $99,999",Independent,13,GA
LP0181__control__R1,LP0181,control,1,Male,40,1986,30-44,Black / African American,High school diploma / GED,"$30,000 to $55,999",Republican,22,LA
LP0182__control__R1,LP0182,control,1,Male,44,1982,30-44,Black / African American,Master's degree / Professional degree,"$168,000 or more",Democrat,36,NY
LP0183__control__R1,LP0183,control,1,Male,40,1986,30-44,Black / African American,Some college or Associate's degree,"$56,000 to $99,999",Independent,48,TX
LP0184__control__R1,LP0184,control,1,Male,43,1983,30-44,Black / African American,Some college or Associate's degree,"$56,000 to $99,999",Independent,37,NC
LP0185__control__R1,LP0185,control,1,Male,34,1992,30-44,Black / African American,High school diploma / GED,"$56,000 to $99,999",Republican,39,OH
LP0186__control__R1,LP0186,control,1,Male,43,1983,30-44,Black / African American,Some college or Associate's degree,"$168,000 or more",Democrat,36,NY
LP0187__control__R1,LP0187,control,1,Male,30,1996,30-44,Black / African American,Bachelor's degree,"$56,000 to $99,999",Democrat,42,PA
LP0188__control__R1,LP0188,control,1,Male,30,1996,30-44,Black / African American,Less than high school,"Less than $30,000",Independent,37,NC
LP0189__control__R1,LP0189,control,1,Male,42,1984,30-44,Black / African American,Some college or Associate's degree,"$100,000 to $167,999",Democrat,13,GA
LP0190__control__R1,LP0190,control,1,Male,36,1990,30-44,Black / African American,Some college or Associate's degree,"Less than $30,000",Independent,11,DC
LP0191__control__R1,LP0191,control,1,Male,35,1991,30-44,Black / African American,High school diploma / GED,"$56,000 to $99,999",Independent,24,MD
LP0192__control__R1,LP0192,control,1,Male,33,1993,30-44,Hispanic / Latino,High school diploma / GED,"$56,000 to $99,999",Democrat,48,TX
LP0193__control__R1,LP0193,control,1,Male,39,1987,30-44,Hispanic / Latino,High school diploma / GED,"Less than $30,000",Republican,48,TX
LP0194__control__R1,LP0194,control,1,Male,32,1994,30-44,Hispanic / Latino,Some college or Associate's degree,"$100,000 to $167,999",Republican,48,TX
LP0195__control__R1,LP0195,control,1,Male,40,1986,30-44,Hispanic / Latino,Bachelor's degree,"$168,000 or more",Democrat,25,MA
LP0196__control__R1,LP0196,control,1,Male,33,1993,30-44,Hispanic / Latino,High school diploma / GED,"$30,000 to $55,999",Democrat,34,NJ
LP0197__control__R1,LP0197,control,1,Male,30,1996,30-44,Hispanic / Latino,Less than high school,"$56,000 to $99,999",Republican,34,NJ
LP0198__control__R1,LP0198,control,1,Male,44,1982,30-44,Hispanic / Latino,Less than high school,"$30,000 to $55,999",Republican,48,TX
LP0199__control__R1,LP0199,control,1,Male,42,1984,30-44,Hispanic / Latino,Less than high school,"Less than $30,000",Independent,48,TX
LP0200__control__R1,LP0200,control,1,Male,33,1993,30-44,Hispanic / Latino,Some college or Associate's degree,"$100,000 to $167,999",Other,53,WA
LP0201__control__R1,LP0201,control,1,Male,30,1996,30-44,Hispanic / Latino,High school diploma / GED,"$56,000 to $99,999",Republican,06,CA
